,Hostname,Stage Name,Artist,Timeslot,Date,Year,Day,Weekend,Genre
2466,Q-Dance Invites: Get Wack!,Q-Dance Stage,Phuture Noize,21:15 - 22:00,26 July,2019,Friday,Weekend 2,Hard Dance
2467,Q-Dance Invites: Get Wack!,Q-Dance Stage,Adaro & B-Front,22:00 - 23:00,26 July,2019,Friday,Weekend 2,Unknown
2468,Q-Dance Invites: Get Wack!,Q-Dance Stage,Dr. Peacock,23:00 - 00:00,26 July,2019,Friday,Weekend 2,Unknown
2469,Winterclubbing,The Rave Cave,Winterclubbing All Stars,00:30 - 01:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance"
2470,Winterclubbing,The Rave Cave,Louis XIV vs Michael Amani,13:00 - 14:00,26 July,2019,Friday,Weekend 2,Unknown
2471,Winterclubbing,The Rave Cave,PartyShakerz,14:00 - 15:00,26 July,2019,Friday,Weekend 2,"Electronic, Dance"
2472,Winterclubbing,The Rave Cave,Bram Delux,15:00 - 16:30,26 July,2019,Friday,Weekend 2,House
2473,Winterclubbing,The Rave Cave,Foncky Time,16:30 - 17:30,26 July,2019,Friday,Weekend 2,Unknown
2474,Winterclubbing,The Rave Cave,Robert Abigail,17:30 - 18:30,26 July,2019,Friday,Weekend 2,Traditional House
2475,Mainstage,Mainstage,The Chainsmokers,23:50 - 00:50,26 July,2019,Friday,Weekend 2,Commercial Dance
2476,Winterclubbing,The Rave Cave,Double-U b2b DJ Luk,19:30 - 20:00,26 July,2019,Friday,Weekend 2,Unknown
